node	color
22037_Integrase_core_domai..	#FFE815
25722_Integrase_core_domai..	#FFE815
26957_integrase-recombinas..	#FFE815
2815_Integrase_core_domai..	#FFE815
694_Integrase_core_domai..	#FFE815
7902_Integrase_core_domai..	#FFE815
26488_trbI	#02D038
26489_trbH	#02D038
26490_trbG	#02D038
26491_trbF	#02D038
26492_trbL	#02D038
26493_trbK	#02D038
26494_trbJ	#02D038
26495_trbE	#02D038
26496_trbD	#02D038
26497_trbC	#02D038
26498_trbB	#02D038
104_VirE3	#C50AD4
13506_virA_1	#C50AD4
13676_virA_3	#C50AD4
13689_VirC1_protein	#C50AD4
26342_virM	#C50AD4
26343_virL	#C50AD4
26606_virH1	#C50AD4
26607_virH2	#C50AD4
26610_virF	#C50AD4
26612_virK	#C50AD4
26622_virA	#C50AD4
26623_virB1	#C50AD4
26624_virB2	#C50AD4
26625_virB3	#C50AD4
26626_virB4	#C50AD4
26627_virB5	#C50AD4
26628_virB6	#C50AD4
26629_virB7	#C50AD4
26630_virB8	#C50AD4
26631_virB9	#C50AD4
26632_virB10	#C50AD4
26633_virB11	#C50AD4
26634_virG	#C50AD4
26635_virC2	#C50AD4
26636_virC1	#C50AD4
26637_virD1	#C50AD4
26638_virD2	#C50AD4
26639_virD3	#C50AD4
26640_virD4	#C50AD4
26641_virD5	#C50AD4
26642_virE3	#C50AD4
26643_virE0	#C50AD4
26644_virE1	#C50AD4
26645_virE2	#C50AD4
26646_virE3	#C50AD4
1372_mlr_4	#424242
148_putative_peptidase	#424242
149_ccpA_6	#424242
150_gpr_9	#424242
152_ccpA_7	#424242
153_frlB_3	#424242
154_frlD_2	#424242
156_potA_17	#424242
157_potD_9	#424242
208_gsiD_12	#424242
221_potB_6	#424242
222_ydcV_11	#424242
26269_agtC	#424242
26479_hyuA	#424242
26480_hyuB	#424242
26520_kduD	#424242
26531_dfpA	#424242
26532_dfpD	#424242
3918_phnV_3	#424242
3920_potA_12	#424242
3921_Bacterial_extracellu..	#424242
3931_edd_2	#424242
3945_yabJ_4	#424242
